               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11497,            0.065242,            0.040638,           0.0050117,             0.13889,            0.010244,           0.0018661,             0.11857,            0.036003,            0.041684,              0.0946,              0.0006,              0.0006
                   1,             0.10771,            0.066593,              0.0399,           0.0077319,             0.40926,             0.01943,           0.0042314,             0.10447,            0.035503,            0.039706,            0.088291,           0.0012914,           0.0012914
                   2,            0.098064,            0.074582,            0.038392,            0.026308,             0.32222,            0.037478,            0.013193,            0.090728,            0.034758,            0.038077,            0.081974,           0.0019736,           0.0019736
                   3,            0.089355,            0.078704,             0.03671,            0.058183,            0.051852,            0.048304,            0.017625,            0.078421,            0.035604,            0.034607,            0.075647,           0.0026465,           0.0026465
                   4,            0.083668,            0.084372,            0.034385,             0.43773,             0.14074,             0.12074,             0.03781,            0.069998,            0.044601,            0.032611,             0.06931,           0.0033102,           0.0033102
                   5,            0.076894,            0.078549,            0.031247,             0.82823,             0.17037,             0.16586,            0.071872,            0.064088,            0.045464,            0.029141,            0.062965,           0.0039647,           0.0039647
                   6,            0.070324,            0.071787,            0.029115,              0.8105,             0.19259,             0.17673,            0.063356,            0.065727,            0.037319,            0.025291,             0.05661,           0.0046099,           0.0046099
                   7,            0.071481,             0.07412,            0.027152,             0.81933,             0.20741,             0.22547,             0.10689,            0.069478,            0.033641,            0.023653,            0.050246,           0.0052459,           0.0052459
                   8,            0.065342,            0.072089,            0.027438,             0.51733,             0.47778,             0.41375,             0.20008,            0.067727,            0.046368,            0.021794,            0.043873,           0.0058726,           0.0058726
                   9,            0.070109,             0.07236,            0.025352,             0.83454,             0.24444,             0.22849,            0.096784,            0.067095,            0.036735,            0.022481,             0.03749,           0.0064901,           0.0064901
                  10,             0.06618,            0.067795,            0.024379,             0.63005,             0.41111,             0.32253,             0.12653,            0.071047,            0.038532,            0.020261,            0.031098,           0.0070984,           0.0070984
                  11,            0.065637,            0.066258,            0.024217,             0.72389,             0.46296,             0.50528,             0.20693,            0.064937,            0.034651,            0.020599,            0.024697,           0.0076974,           0.0076974
                  12,            0.066697,            0.070548,            0.023773,             0.69838,             0.47037,             0.42789,             0.16144,            0.065413,            0.036079,            0.019782,            0.018287,           0.0082872,           0.0082872
                  13,            0.066488,            0.074044,            0.023511,             0.70823,             0.57276,             0.50299,             0.10923,            0.073977,            0.037311,            0.020123,            0.011868,           0.0088677,           0.0088677
                  14,            0.064197,            0.068525,            0.023872,             0.59033,             0.45556,             0.42098,             0.13761,             0.06724,            0.031394,            0.016619,            0.009076,            0.009076,            0.009076
                  15,            0.064016,            0.066456,            0.022616,             0.62336,             0.57778,             0.33764,             0.17472,            0.066508,            0.030791,             0.01796,            0.009076,            0.009076,            0.009076
                  16,            0.061806,            0.065634,            0.021699,             0.66581,             0.55556,             0.43022,             0.14011,            0.061259,            0.031313,            0.017699,             0.00901,             0.00901,             0.00901
                  17,            0.055881,            0.071758,              0.0212,             0.81368,             0.51401,             0.49247,             0.17409,            0.060037,            0.033462,            0.018132,            0.008944,            0.008944,            0.008944
                  18,              0.0573,            0.069453,            0.020523,             0.63862,             0.60741,             0.43883,             0.24204,            0.061006,            0.031448,            0.015644,            0.008878,            0.008878,            0.008878
                  19,            0.057934,            0.064774,            0.020669,             0.71196,             0.62222,             0.54196,              0.3536,            0.057987,            0.030383,            0.015207,            0.008812,            0.008812,            0.008812
