               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11089,             0.06664,            0.039755,            0.014843,             0.62037,             0.02101,           0.0060824,             0.10575,            0.034443,            0.041162,              0.0946,              0.0006,              0.0006
                   1,             0.10416,            0.067507,            0.039004,            0.016613,             0.65185,            0.047208,            0.013975,            0.096092,            0.033819,            0.038992,            0.088291,           0.0012914,           0.0012914
                   2,            0.095883,            0.075629,            0.037238,            0.016109,             0.72222,              0.1255,            0.035358,            0.085459,            0.033737,             0.03653,            0.081974,           0.0019736,           0.0019736
                   3,            0.088202,            0.080102,            0.035581,            0.015533,             0.77778,             0.21077,            0.069472,            0.075705,            0.034427,            0.033536,            0.075647,           0.0026465,           0.0026465
                   4,            0.080713,            0.090298,            0.033304,            0.062545,             0.77778,             0.33085,             0.20086,            0.065891,            0.033423,            0.029347,             0.06931,           0.0033102,           0.0033102
                   5,            0.072367,             0.08544,            0.030784,             0.92673,             0.26667,              0.3807,             0.17165,            0.061457,             0.02987,            0.025887,            0.062965,           0.0039647,           0.0039647
                   6,             0.06533,            0.069657,            0.027436,             0.68609,             0.35926,              0.3712,             0.18062,            0.059313,            0.028273,            0.020503,             0.05661,           0.0046099,           0.0046099
                   7,            0.065243,            0.069098,            0.024779,             0.26414,             0.80556,             0.58232,              0.2314,            0.061264,            0.026542,            0.017507,            0.050246,           0.0052459,           0.0052459
                   8,            0.063081,            0.063146,              0.0236,             0.32136,             0.86111,             0.62831,             0.23398,            0.060732,            0.024954,            0.013921,            0.043873,           0.0058726,           0.0058726
                   9,            0.062668,            0.063588,            0.021225,             0.32339,             0.90926,             0.63961,             0.29403,            0.056649,            0.027905,            0.011227,             0.03749,           0.0064901,           0.0064901
                  10,             0.05838,            0.056221,              0.0189,             0.38212,             0.86111,             0.67086,             0.28419,            0.066509,            0.025767,            0.010493,            0.031098,           0.0070984,           0.0070984
                  11,            0.062893,            0.055201,            0.018405,             0.41534,             0.83889,             0.66668,             0.33126,            0.060181,            0.022843,           0.0083902,            0.024697,           0.0076974,           0.0076974
                  12,            0.058592,            0.057958,            0.016417,             0.53094,             0.87963,             0.72665,             0.35958,            0.061459,            0.023811,           0.0087519,            0.018287,           0.0082872,           0.0082872
                  13,            0.057803,            0.062285,            0.016329,             0.45269,             0.82593,             0.65482,             0.25494,            0.067968,            0.021057,           0.0073351,            0.011868,           0.0088677,           0.0088677
                  14,             0.05809,            0.054217,            0.015608,              0.5472,             0.83864,             0.67316,             0.35511,            0.064192,            0.022576,           0.0079525,            0.009076,            0.009076,            0.009076
                  15,            0.059066,            0.052563,             0.01443,             0.56138,              0.8463,             0.76103,             0.36979,            0.061685,            0.020092,           0.0065157,            0.009076,            0.009076,            0.009076
                  16,            0.054524,            0.053624,            0.013411,             0.61529,              0.8537,             0.80297,             0.40144,            0.059563,            0.019978,           0.0064047,             0.00901,             0.00901,             0.00901
                  17,            0.053119,            0.055781,            0.012526,             0.47519,             0.81134,             0.63876,             0.31079,            0.057941,             0.02128,           0.0066765,            0.008944,            0.008944,            0.008944
