               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027983,            0.067022,           0.0078711,             0.72941,              0.4466,             0.46903,             0.28817,            0.034868,            0.041763,           0.0098825,            0.007624,            0.007624,            0.007624
                  38,            0.027067,             0.06279,           0.0075653,             0.73819,             0.43966,             0.46538,             0.30527,            0.033064,            0.039905,           0.0099096,            0.007558,            0.007558,            0.007558
                  39,             0.02692,            0.063945,            0.007596,              0.6081,              0.4579,             0.48638,             0.32278,            0.033037,             0.04061,            0.010329,            0.007492,            0.007492,            0.007492
                  40,            0.026605,            0.065597,           0.0074659,             0.62993,             0.46971,             0.50055,              0.3227,            0.034047,            0.041641,            0.010275,            0.007426,            0.007426,            0.007426
                  41,            0.027595,            0.065596,           0.0075106,             0.60109,             0.45553,              0.4927,             0.29833,            0.033049,            0.042657,            0.010438,             0.00736,             0.00736,             0.00736
                  42,             0.02711,            0.064111,           0.0072586,             0.63729,             0.44061,             0.46549,             0.29805,            0.033744,            0.041053,            0.010924,            0.007294,            0.007294,            0.007294
                  43,            0.026342,            0.063688,           0.0075013,             0.59767,             0.44864,             0.49387,             0.31994,            0.034353,            0.041986,           0.0091712,            0.007228,            0.007228,            0.007228
                  44,            0.026283,            0.064715,           0.0074973,             0.69835,             0.44394,             0.46977,             0.31286,            0.033765,            0.041342,           0.0099634,            0.007162,            0.007162,            0.007162
                  45,            0.026595,            0.062843,           0.0069201,              0.6096,             0.50125,              0.4925,             0.30882,            0.033818,            0.041191,           0.0099645,            0.007096,            0.007096,            0.007096
                  46,            0.026327,            0.062282,           0.0068234,             0.44568,              0.4987,              0.4588,             0.29574,            0.032533,            0.041368,            0.011484,             0.00703,             0.00703,             0.00703
                  47,            0.025715,            0.060998,           0.0069293,              0.4312,             0.52978,             0.47489,             0.30336,            0.033361,            0.041735,            0.011219,            0.006964,            0.006964,            0.006964
                  48,            0.026304,              0.0629,           0.0066035,             0.46935,              0.4386,             0.48631,             0.30398,            0.033991,            0.042635,            0.011088,            0.006898,            0.006898,            0.006898
                  49,             0.02579,            0.061242,           0.0068471,             0.48653,             0.51522,             0.50026,             0.31725,            0.033624,            0.040846,           0.0099587,            0.006832,            0.006832,            0.006832
                  50,            0.025317,            0.062613,           0.0068308,              0.4907,             0.46661,             0.49431,             0.32969,            0.032968,            0.039825,           0.0081234,            0.006766,            0.006766,            0.006766
                  51,            0.025148,            0.062382,           0.0066761,             0.43051,             0.49651,             0.49023,             0.32462,            0.032803,            0.040094,            0.009162,              0.0067,              0.0067,              0.0067
                  52,            0.025227,            0.060755,            0.006547,              0.4886,             0.46669,             0.50715,              0.3258,            0.033179,            0.040988,           0.0089056,            0.006634,            0.006634,            0.006634
                  53,            0.025427,            0.058566,           0.0066332,             0.46452,             0.50257,             0.48937,             0.32935,            0.033569,            0.043788,            0.010028,            0.006568,            0.006568,            0.006568
                  54,            0.024865,            0.059855,           0.0063776,             0.48921,             0.53202,             0.50415,             0.32686,            0.032301,            0.041216,            0.010224,            0.006502,            0.006502,            0.006502
                  55,            0.024986,            0.060042,           0.0064035,             0.54923,             0.55358,             0.52184,             0.34549,            0.032271,            0.041334,            0.010746,            0.006436,            0.006436,            0.006436
                  56,            0.025078,            0.062134,            0.006632,             0.53529,             0.52198,             0.49146,             0.30404,            0.033238,            0.043693,            0.010705,             0.00637,             0.00637,             0.00637
                  57,            0.024979,            0.060936,           0.0063328,             0.52811,              0.6176,             0.52815,              0.3393,            0.031724,            0.040779,            0.010317,            0.006304,            0.006304,            0.006304
                  58,            0.024521,            0.059089,           0.0061691,             0.52184,             0.54331,             0.47875,             0.31133,            0.031513,            0.042152,            0.010828,            0.006238,            0.006238,            0.006238
                  59,            0.024677,            0.060402,           0.0062861,              0.4983,             0.56524,               0.531,             0.35632,            0.032265,            0.041092,            0.010512,            0.006172,            0.006172,            0.006172
                  60,            0.024642,            0.060469,           0.0059756,             0.53451,             0.50647,             0.51463,             0.34638,             0.03245,            0.041429,            0.011982,            0.006106,            0.006106,            0.006106
                  61,            0.024256,            0.058689,           0.0061366,             0.60476,             0.52877,             0.54486,              0.3686,            0.033523,            0.042294,           0.0096386,             0.00604,             0.00604,             0.00604
                  62,            0.024045,             0.05882,           0.0059329,             0.61022,             0.43335,             0.48374,             0.32363,            0.033187,            0.041945,            0.010981,            0.005974,            0.005974,            0.005974
                  63,            0.023541,            0.058203,           0.0059739,             0.57129,             0.55882,             0.53866,             0.36803,            0.032247,            0.041151,            0.010818,            0.005908,            0.005908,            0.005908
                  64,            0.024067,            0.059304,            0.005528,             0.68456,             0.55158,             0.55551,             0.35983,            0.033068,             0.04288,            0.011242,            0.005842,            0.005842,            0.005842
                  65,             0.02388,            0.057571,           0.0059968,             0.53161,             0.52895,              0.5231,             0.35263,            0.033025,            0.043196,            0.010557,            0.005776,            0.005776,            0.005776
                  66,            0.023179,            0.057017,           0.0057857,              0.6426,             0.49779,             0.53816,             0.35327,            0.032371,            0.043658,            0.011944,             0.00571,             0.00571,             0.00571
                  67,             0.02371,            0.058341,            0.005944,             0.55597,             0.48277,             0.54289,             0.36005,            0.032382,            0.042408,            0.010219,            0.005644,            0.005644,            0.005644
                  68,            0.023667,            0.056603,           0.0054512,             0.53985,             0.54157,             0.54168,             0.37861,              0.0318,            0.040848,            0.010176,            0.005578,            0.005578,            0.005578
                  69,            0.023485,            0.057642,           0.0057719,             0.60115,             0.46439,             0.53294,             0.35785,            0.033181,            0.041435,           0.0095439,            0.005512,            0.005512,            0.005512
                  70,            0.023153,            0.058178,           0.0056954,             0.57279,             0.51208,             0.53307,             0.35277,             0.03218,            0.041419,           0.0099933,            0.005446,            0.005446,            0.005446
