               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027571,            0.066621,           0.0084769,             0.70357,             0.39602,             0.42268,             0.28174,            0.033806,            0.041578,            0.012515,            0.007624,            0.007624,            0.007624
                  38,            0.027537,            0.062862,           0.0079992,             0.54657,             0.41991,             0.42881,             0.28003,            0.034225,            0.038928,            0.012613,            0.007558,            0.007558,            0.007558
                  39,            0.027206,            0.063119,           0.0080545,             0.57696,               0.483,             0.45931,             0.28841,            0.033413,            0.041407,            0.011884,            0.007492,            0.007492,            0.007492
                  40,            0.026097,            0.065124,           0.0078106,             0.69765,             0.45971,              0.4497,             0.31259,            0.033204,            0.040985,             0.01263,            0.007426,            0.007426,            0.007426
                  41,            0.026262,            0.064901,           0.0079637,              0.6475,             0.41962,             0.43314,             0.28377,             0.03289,            0.041538,             0.01238,             0.00736,             0.00736,             0.00736
                  42,            0.026306,            0.063238,           0.0076486,             0.57591,             0.45155,             0.44671,             0.29054,            0.033455,            0.041082,            0.013532,            0.007294,            0.007294,            0.007294
                  43,            0.026616,            0.063208,           0.0077788,             0.64066,             0.46257,              0.4576,             0.29809,            0.033917,             0.04229,            0.011949,            0.007228,            0.007228,            0.007228
                  44,            0.026613,            0.064299,           0.0079503,             0.57935,             0.47753,             0.44898,             0.29292,            0.032494,            0.040249,            0.011212,            0.007162,            0.007162,            0.007162
                  45,            0.026047,            0.062584,            0.007324,              0.5852,             0.44502,              0.4667,             0.30194,            0.032664,            0.040583,            0.010921,            0.007096,            0.007096,            0.007096
                  46,            0.026022,            0.061652,           0.0071848,             0.63027,             0.41067,             0.45769,             0.29115,            0.034064,            0.041901,            0.011586,             0.00703,             0.00703,             0.00703
                  47,            0.025418,            0.060562,           0.0073261,             0.61566,             0.42078,             0.45662,             0.28853,            0.033842,            0.040719,            0.010614,            0.006964,            0.006964,            0.006964
                  48,            0.025639,            0.062612,           0.0069171,             0.43169,             0.47843,              0.4498,             0.29084,            0.033013,            0.041743,            0.010532,            0.006898,            0.006898,            0.006898
                  49,            0.025531,            0.060552,           0.0071637,             0.46634,             0.48144,             0.46058,             0.30964,            0.033176,            0.040586,            0.009934,            0.006832,            0.006832,            0.006832
                  50,            0.025121,            0.062518,           0.0073316,             0.58867,             0.46896,             0.44877,             0.29554,            0.033854,            0.041849,            0.010233,            0.006766,            0.006766,            0.006766
                  51,            0.025431,            0.062797,           0.0070457,             0.57046,              0.4672,             0.45515,             0.30046,            0.032895,            0.041186,            0.010796,              0.0067,              0.0067,              0.0067
                  52,            0.025545,            0.060596,           0.0069409,             0.64253,             0.44093,             0.47261,             0.32201,            0.033089,            0.040903,            0.011138,            0.006634,            0.006634,            0.006634
                  53,              0.0253,            0.058547,           0.0071389,             0.66595,             0.45851,             0.47928,              0.3204,            0.033108,            0.041173,            0.011798,            0.006568,            0.006568,            0.006568
                  54,            0.024695,            0.059725,            0.006844,             0.62376,             0.47402,             0.46212,             0.31213,            0.032964,            0.040993,            0.010768,            0.006502,            0.006502,            0.006502
                  55,             0.02475,             0.05977,           0.0068095,             0.61088,             0.48422,             0.47249,             0.31731,             0.03292,            0.041667,            0.012012,            0.006436,            0.006436,            0.006436
                  56,            0.024922,            0.061701,           0.0068853,             0.59822,             0.46778,             0.46511,             0.31137,            0.032881,            0.043796,             0.01162,             0.00637,             0.00637,             0.00637
                  57,            0.024365,            0.060142,           0.0065718,             0.66261,             0.46178,             0.49135,             0.32106,            0.031815,            0.040489,           0.0095974,            0.006304,            0.006304,            0.006304
                  58,            0.024106,            0.058723,           0.0066958,             0.63386,             0.42155,             0.46206,             0.30546,            0.032778,            0.042346,            0.011257,            0.006238,            0.006238,            0.006238
                  59,            0.024514,            0.059938,           0.0065647,             0.64409,             0.50148,             0.49742,             0.32698,            0.032436,             0.04087,           0.0091028,            0.006172,            0.006172,            0.006172
                  60,             0.02432,            0.060193,           0.0064229,               0.626,             0.43046,             0.45639,             0.30443,            0.033544,            0.042562,            0.010344,            0.006106,            0.006106,            0.006106
                  61,            0.024082,             0.05829,           0.0066177,             0.59426,             0.46679,             0.46187,             0.31922,            0.033372,            0.041809,            0.010043,             0.00604,             0.00604,             0.00604
                  62,            0.023709,            0.059019,           0.0063403,             0.74373,             0.41037,             0.44832,             0.31299,            0.032198,            0.040787,             0.01064,            0.005974,            0.005974,            0.005974
                  63,            0.023313,            0.057795,           0.0065138,             0.61511,             0.43936,             0.45882,             0.31659,            0.033695,            0.041701,            0.010623,            0.005908,            0.005908,            0.005908
                  64,            0.023721,            0.058607,           0.0057881,             0.62066,             0.45934,             0.47962,             0.32385,            0.032896,            0.043654,           0.0096815,            0.005842,            0.005842,            0.005842
                  65,            0.023474,            0.057194,           0.0062689,             0.65814,             0.42334,             0.46453,             0.32166,            0.033424,            0.043414,            0.010936,            0.005776,            0.005776,            0.005776
                  66,            0.023256,            0.057317,           0.0061103,             0.77897,              0.4364,              0.4759,              0.3181,            0.032533,             0.04187,            0.012856,             0.00571,             0.00571,             0.00571
                  67,            0.023559,            0.058241,           0.0063121,             0.66401,             0.50947,              0.5041,             0.34537,            0.032357,            0.041207,            0.010947,            0.005644,            0.005644,            0.005644
                  68,            0.023813,            0.056786,           0.0060976,              0.6662,             0.48162,             0.51402,             0.34304,            0.030836,            0.039874,            0.011025,            0.005578,            0.005578,            0.005578
                  69,            0.023887,            0.057809,           0.0060888,             0.80628,             0.42517,             0.49276,             0.34609,            0.032532,             0.04094,            0.010701,            0.005512,            0.005512,            0.005512
                  70,            0.023161,            0.057848,           0.0061339,               0.454,             0.52156,             0.50587,             0.34667,            0.032402,            0.042361,            0.010862,            0.005446,            0.005446,            0.005446
                  71,            0.022867,             0.05546,           0.0060564,             0.45061,             0.58436,             0.52877,             0.35162,            0.032341,            0.042382,            0.011175,             0.00538,             0.00538,             0.00538
                  72,            0.023031,            0.057015,           0.0061793,             0.60949,             0.43958,             0.49088,             0.34616,            0.032437,            0.041473,            0.011016,            0.005314,            0.005314,            0.005314
